to,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,from
Belgium,0,0,0,0,0,0,0,0,,Belgium
Bulgaria,0,0,0,0,0,0,0,0,,Belgium
Czech Republic,0,0,0,0,0,0,0,,,Belgium
Denmark,0,0,0,0,0,0,0,,,Belgium
Germany,0,0,0,0,0,0,0,0,,Belgium
Estonia,0,0,0,0,0,0,0,,,Belgium
Ireland,0,0,0,0,0,0,0,,,Belgium
Greece,0,0,0,0,0,0,0,,,Belgium
Spain,0,0,0,0,0,0,,,,Belgium
France,0,0,0,0,0,0,0,,,Belgium
Croatia,0,0,0,0,0,0,0,0,,Belgium
Italy,,,,,,,,,,Belgium
Cyprus,0,0,0,0,0,0,0,,,Belgium
Latvia,0,0,0,0,0,0,0,,,Belgium
Lithuania,0,0,0,0,0,0,0,0,,Belgium
Luxembourg,0,0,0,0,0,0,0,0,,Belgium
Hungary,0,0,0,0,0,0,0,0,,Belgium
Malta,0,0,0,0,0,0,0,,,Belgium
Netherlands,0,0,0,0,0,0,0,0,,Belgium
Austria,0,0,0,0,0,0,0,,,Belgium
Poland,0,0,0,0,0,0,0,0,0,Belgium
Portugal,0,0,0,0,0,0,0,,,Belgium
Romania,0,0,0,0,0,0,0,,,Belgium
Slovenia,0,0,0,0,0,0,0,0,,Belgium
Slovakia,0,0,0,0,0,0,0,,,Belgium
Finland,0,0,0,0,0,0,0,0,0,Belgium
Sweden,0,0,0,0,0,0,0,0,0,Belgium
United Kingdom,0,0,0,0,0,0,0,,,Belgium
Belgium,0,0,0,0,0,10,0,0,,Bulgaria
Bulgaria,0,0,0,0,0,0,0,0,,Bulgaria
Czech Republic,0,0,0,0,0,0,0,,,Bulgaria
Denmark,0,0,5,0,0,0,0,,,Bulgaria
Germany,0,0,0,0,5,0,0,0,,Bulgaria
Estonia,0,0,0,0,0,0,0,,,Bulgaria
Ireland,0,0,0,0,0,0,0,,,Bulgaria
Greece,0,0,0,0,0,0,0,,,Bulgaria
Spain,0,0,0,0,0,0,,,,Bulgaria
France,0,0,0,0,0,0,0,,,Bulgaria
