to,1992M12,from
Austria,11850,Europe
Belgium,7285,Europe
Germany,310530,Europe
Denmark,9935,Europe
Greece,555,Europe
Spain,2920,Europe
Finland,2855,Europe
France,7165,Europe
Ireland,,Europe
Italy,1580,Europe
Luxembourg,55,Europe
Netherlands,9100,Europe
Portugal,205,Europe
Sweden,71585,Europe
United Kingdom,8580,Europe
Austria,835,Africa
Belgium,7425,Africa
Germany,67410,Africa
Denmark,1370,Africa
Greece,30,Africa
Spain,3020,Africa
Finland,375,Africa
France,9395,Africa
Ireland,,Africa
Italy,820,Africa
Luxembourg,50,Africa
Netherlands,6430,Africa
Portugal,430,Africa
Sweden,4570,Africa
United Kingdom,7630,Africa
Austria,0,America
Belgium,160,America
Germany,355,America
Denmark,20,America
Greece,0,America
Spain,4905,America
Finland,30,America
France,925,America
Ireland,,America
Italy,20,America
Luxembourg,5,America
Netherlands,100,America
Portugal,0,America
Sweden,1435,America
United Kingdom,320,America
Austria,2860,Asia
Belgium,2800,Asia
Germany,56480,Asia
Denmark,1950,Asia
Greece,1525,Asia
Spain,830,Asia
Finland,370,Asia
France,11125,Asia
Ireland,,Asia
Italy,160,Asia
Luxembourg,10,Asia
Netherlands,4555,Asia
Portugal,15,Asia
Sweden,5895,Asia
United Kingdom,8080,Asia
Austria,0,Oceania
Belgium,0,Oceania
Germany,0,Oceania
Denmark,5,Oceania
Greece,0,Oceania
Spain,0,Oceania
Finland,0,Oceania
France,,Oceania
Ireland,,Oceania
Italy,0,Oceania
Luxembourg,0,Oceania
Netherlands,,Oceania
Portugal,0,Oceania
Sweden,,Oceania
United Kingdom,0,Oceania
Austria,30,Stateless
Belgium,0,Stateless
Germany,,Stateless
Denmark,610,Stateless
Greece,,Stateless
Spain,25,Stateless
Finland,5,Stateless
France,,Stateless
Ireland,,Stateless
Italy,0,Stateless
Luxembourg,0,Stateless
Netherlands,160,Stateless
Portugal,0,Stateless
Sweden,365,Stateless
United Kingdom,0,Stateless
Austria,340,Unknown
Belgium,0,Unknown
Germany,3420,Unknown
Denmark,0,Unknown
Greece,0,Unknown
Spain,10,Unknown
Finland,0,Unknown
France,265,Unknown
Ireland,,Unknown
Italy,0,Unknown
Luxembourg,0,Unknown
Netherlands,5,Unknown
Portugal,0,Unknown
Sweden,175,Unknown
United Kingdom,7690,Unknown
